economia	1	put merd 75 val pag jog vide gam impost brasil
economia	2	tud pior impost inflaca corrupca menos escol menos hospit menos httpstcotc4imu33fp
economia	3	rt stjnotic serv ativ tj assemble sao paul dev recolh impost sindic confederaca httptcokyru95
economia	4	serv ativ tj assemble sao paul dev recolh impost sindic confederaca httptcokyru95opp
economia	5	darosr impost gargant
economia	6	parab trabalh pag impost rend governoptdilm nao atualiz tabel ir apes inflaca
economia	7	tint robust comemor declaraca impost rend agradec lea abocanh httpstcomi9crj9qtj
economia	8	rdgauch impost sobr beb sob 10 part mai saib httptco1molnnwobx httptcoxv0w9zjt7m
economia	9	hoj fiz destinaca impost rend dev fund estad direit crianc httpstcoqdpnuygqqq
economia	10	sempr ult moicanosimpost rend acab nanfehous httpstcovqviuzgnup
economia	11	mae deix declar impost rend ult dia parab mta palm
economia	12	declaraca impost rend transmit sucess
economia	13	declaraca impost rend pes ano kkkk motohomegarag loadrid scania112 full httpstcoif8yurerod
economia	14	statusaguard restituica impost rendapagandopratrabalh
economia	15	ult dia entreg impost rend pesso fisic 2015 aind temp cf contavel cfcontavel httpstcojwwv5kiebw
economia	16	grand tuliomilman direit pergunt blasfem contr govern hor declar impost rend pec sensac
economia	17	rt nelsonfsilva1 geraldodemor combusti govern corrupt impost pag contribuint
economia	18	rt abc900 aoviv receb deleg luil f lorenz receit feder esclarec duvid sobr impost rend httpt
economia	19	aoviv receb deleg luil f lorenz receit feder esclarec duvid sobr impost rend httptcoipwbfqmhf
economia	20	praz entreg impost rend termin nest quintaf httptcogn0blmoc72
economia	21	praz entr impost rend termin nest quintaf httptcogn0blmoc72
economia	22	corr agor estada impost rend praz entreg termin hoj httptcoo5geguetf4
economia	23	geraldodemor combusti govern corrupt impost pag contribuint
economia	24	def tes seguint tud impost contr democrac base conclu impost rend ileg
economia	25	eit impost rend exist tip benefici tra lea ir receitafeder naoaguentoiss
economia	26	ah deput pessoal superi nao dinh mant estrut cade gent pag pouc impost
economia	27	gost aument impost nao pod fal 1 mai culp nao incompetenc econom devastada protest
